id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;geo
75113_9928_00007;751139928;7;;Rue Vulpian;75013;75113;Paris 13e Arrondissement;;;652042.01;6859298.98;2.346689;48.831961;parcelle;;;PARIS;RUE VULPIAN;commune;commune;1;;48.831961, 2.346689
75113_9928_00015;751139928;15;;Rue Vulpian;75013;75113;Paris 13e Arrondissement;;;652015.93;6859217.36;2.346343;48.831225;parcelle;;;PARIS;RUE VULPIAN;commune;commune;1;;48.831225, 2.346343
75113_9928_00016;751139928;16;;Rue Vulpian;75013;75113;Paris 13e Arrondissement;;;652017.48;6859271.94;2.346358;48.831716;parcelle;;;PARIS;RUE VULPIAN;commune;commune;1;;48.831716, 2.346358
75113_9928_00021;751139928;21;;Rue Vulpian;75013;75113;Paris 13e Arrondissement;;;652003.95;6859179.76;2.346184;48.830886;parcelle;;;PARIS;RUE VULPIAN;commune;commune;1;;48.830886, 2.346184
75113_6973_00023;751136973;23;;Rue Oudry;75013;75113;Paris 13e Arrondissement;;;652719.55;6859843.73;2.355858;48.83691;parcelle;;;PARIS;RUE OUDRY;commune;commune;1;;48.83691, 2.355858
75113_0656_00004;751130656;4;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652870.9;6859778.56;2.357927;48.836335;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.836335, 2.357927
75113_0656_00009;751130656;9;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652817.61;6859733.4;2.357206;48.835925;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.835925, 2.357206
75113_0656_00022;751130656;22;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652708.82;6859679.13;2.35573;48.835429;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.835429, 2.35573
75113_0656_00023;751130656;23;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652718.8;6859670.6;2.355867;48.835353;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.835353, 2.355867
75113_0656_00038;751130656;38;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652609.35;6859606.89;2.354383;48.834772;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.834772, 2.354383
75113_0656_00042;751130656;42;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652585.73;6859591.62;2.354063;48.834633;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.834633, 2.354063
75113_8115_00003;751138115;3;;Rue de la Reine Blanche;75013;75113;Paris 13e Arrondissement;;;652641.87;6859859.26;2.354798;48.837044;parcelle;;;PARIS;RUE DE LA REINE BLANCHE;commune;commune;1;;48.837044, 2.354798
75113_8115_00023;751138115;23;;Rue de la Reine Blanche;75013;75113;Paris 13e Arrondissement;;;652541.63;6859772.9;2.353442;48.83626;parcelle;;;PARIS;RUE DE LA REINE BLANCHE;commune;commune;1;;48.83626, 2.353442
75113_8115_00028;751138115;28;;Rue de la Reine Blanche;75013;75113;Paris 13e Arrondissement;;;652520.62;6859770.29;2.353156;48.836235;parcelle;;;PARIS;RUE DE LA REINE BLANCHE;commune;commune;1;;48.836235, 2.353156
75113_8115_00029;751138115;29;;Rue de la Reine Blanche;75013;75113;Paris 13e Arrondissement;;;652501.93;6859738.53;2.352905;48.835948;parcelle;;;PARIS;RUE DE LA REINE BLANCHE;commune;commune;1;;48.835948, 2.352905
75113_9001_00006;751139001;6;;Avenue de la Soeur Rosalie;75013;75113;Paris 13e Arrondissement;;;652577.92;6859300.69;2.353989;48.832016;parcelle;;;PARIS;AVENUE DE LA SOEUR ROSALIE;commune;commune;1;;48.832016, 2.353989
75113_9001_00013;751139001;13;;Avenue de la Soeur Rosalie;75013;75113;Paris 13e Arrondissement;;;652508.75;6859289.91;2.353048;48.831914;parcelle;;;PARIS;AVENUE DE LA SOEUR ROSALIE;commune;commune;1;;48.831914, 2.353048
75113_4211_00005;751134211;5;;Rue des Gobelins;75013;75113;Paris 13e Arrondissement;;;652430.2;6859719.55;2.35193;48.835772;parcelle;;;PARIS;RUE DES GOBELINS;commune;commune;1;;48.835772, 2.35193
75113_4211_00010;751134211;10;;Rue des Gobelins;75013;75113;Paris 13e Arrondissement;;;652399.99;6859731.59;2.351517;48.835878;parcelle;;;PARIS;RUE DES GOBELINS;commune;commune;1;;48.835878, 2.351517
75113_8424_00003;751138424;3;;Rue Rubens;75013;75113;Paris 13e Arrondissement;;;652673.77;6859603.25;2.355261;48.834744;parcelle;;;PARIS;RUE RUBENS;commune;commune;1;;48.834744, 2.355261
75113_8424_00008;751138424;8;;Rue Rubens;75013;75113;Paris 13e Arrondissement;;;652662.32;6859576.88;2.355108;48.834506;parcelle;;;PARIS;RUE RUBENS;commune;commune;1;;48.834506, 2.355108
75113_8690_00045;751138690;45;;Boulevard Saint-Marcel;75013;75113;Paris 13e Arrondissement;;;652773.39;6859973.83;2.356577;48.838084;parcelle;;;PARIS;BOULEVARD SAINT MARCEL;commune;commune;1;;48.838084, 2.356577
75113_8690_00053;751138690;53;;Boulevard Saint-Marcel;75013;75113;Paris 13e Arrondissement;;;652702.43;6859940.38;2.355614;48.837778;parcelle;;;PARIS;BOULEVARD SAINT MARCEL;commune;commune;1;;48.837778, 2.355614
75113_8690_00057;751138690;57;;Boulevard Saint-Marcel;75013;75113;Paris 13e Arrondissement;;;652657.63;6859919.18;2.355006;48.837584;parcelle;;;PARIS;BOULEVARD SAINT MARCEL;commune;commune;1;;48.837584, 2.355006
75113_2416_00008;751132416;8;;Rue Coypel;75013;75113;Paris 13e Arrondissement;;;652725.51;6859439.81;2.355984;48.833278;parcelle;;;PARIS;RUE COYPEL;commune;commune;1;;48.833278, 2.355984
