id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles
75111_8358_00001;75111_8358;1;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653816.43;6861703.89;2.370599;48.853718;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00002;75111_8358;2;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653807.81;6861662.59;2.370486;48.853346;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00003;75111_8358;3;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653823.34;6861714.4;2.370692;48.853813;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00004;75111_8358;4;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653810.85;6861667.13;2.370527;48.853387;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00005;75111_8358;5;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653830.22;6861722.13;2.370785;48.853883;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00006;75111_8358;6;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653814.79;6861672.99;2.37058;48.85344;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00007;75111_8358;7;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653835.14;6861732.09;2.370851;48.853973;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00008;75111_8358;8;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653818.13;6861677.97;2.370625;48.853485;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00009;75111_8358;9;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653841.09;6861741.05;2.370931;48.854054;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
75111_8358_00010;75111_8358;10;;Rue de la Roquette;75011;75111;Paris 11e Arrondissement;;;653821.4;6861682.83;2.370669;48.853529;parcelle;;;PARIS;RUE DE LA ROQUETTE;commune;commune;vrai;
