id;cvoie;cdgi;typo;typo_min;date_arret;siecle;statut;typvoie;prevoie;nomvoie;arrdt;quartier;feuille;debut;fin;longueur;largeur;n_pair;n_impair;alignement;servitude;historique;denomination;classement;observation;numerotage;orig;declassement;nivellement;assainissement;ouverture;geo_point_2d;validite
"10645";;;RUE DU FAUBOURG MONTMARTRE;rue du Faubourg Montmartre;;;Voie publique de la Ville de Paris;rue;du;Faubourg Montmartre;"[ ""09e"" ]";"[ ""Faubourg-Montmartre"" ]";"[ ""71A3"", ""50D4"" ]";"boulevard Montmartre, 2 et boulevard Poissonnière, 32.";"rue Fléchier, 4 et rue Lamartine, 43.";635;20;"72";"67";"Non retenus au POS et non repris au PLU : Côté impair : Ordonnance du 10 mai 1840 : 1° entre le n° 31 (exclu) et la rue de Provence ; 2° entre la rue La Fayette et le n° 63 (exclu). Arrêté du 12 février 1938, le surplus, ainsi qu'un pan coupé de 10 m à l'angle de la rue La Fayette, côté impair. Côté pair : Arrêté du 12 février 1938 : 1° entre le boulevard Poissonnière et la rue Buffault ; 2° entre la rue La Fayette et la rue de Châteaudun. Cet arrêté rapporte : 1° l'alignement approuvé par décret du 25 avril 1885 entre la rue Buffault et la rue La Fayette ; 2° l'alignement approuvé par ordonnance du 10 mai 1840 entre la place Kossuth et la rue Lamartine.";;Cette voie figure à l'état de chemin sur les plus anciens plans de Paris. Elle a porté pendant la Révolution le nom de rue du Faubourg Montmarat.;;;;;Principale rue du faubourg situé entre Paris et l'abbaye de Montmartre.;"Délibération du 19 janvier 1998, au droit du n° 15.";Arrêté du 12 février 1938.;;;"lat: 48.87405447129939, lon: 2.341951679400431";Dénomination actuelle
"13964";;;RUE VAUCANSON;rue Vaucanson;1817/09/27;"19";Voie publique de la Ville de Paris;rue;;Vaucanson;"[ ""03e"" ]";"[ ""Arts et Metiers"" ]";"[ ""72C1"" ]";"rues Réaumur et de Turbigo, 53.";"rue du Vertbois, 29.";195;10;"6";"5";"Non retenus au POS et non repris au PLU : Décret du 23 août 1858, côté impair, sur une longueur de 28 m environ à partir de la rue Réaumur, et, côté pair, entre les rues de Turbigo et Conté. Ordonnance du 14 janvier 1829, le surplus. Arrêté du 12 mars 1970, sur une longueur de 15 m à partir d'un point situé à 99 m environ de la rue Conté (au droit de la rue Ferdinand Berthoud, supprimée).";;;"Décision ministérielle du 27 septembre 1817, partie A.";;;;"Jacques de Vaucanson (1709-1782), ingénieur mécanicien français ; voisinage du Conservatoire National des Arts et Métiers.";;;;"Décret du 23 août 1858, sur une longueur de 24 m environ à partir de la rue Réaumur (jusqu'à la rue du Général Morin supprimée). Décret du 21 mars 1813 et décision ministérielle du 9 octobre 1816, le surplus (A). Cette dernière partie a été ouverte en 1817.";"lat: 48.866432319385765, lon: 2.35624996003273";Dénomination actuelle
"13346";;;IMPASSE RUFFIN;impasse Ruffin;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;impasse;;Ruffin;"[ ""08e"" ]";"[ ""Champs-Élysées"" ]";"[ ""68D1"", ""68D2"" ]";"avenue Montaigne, 47.";;43;1.4;"4";;;;;;;;;"M. Ruffin, propriétaire.";;;;;"lat: 48.8678311857507, lon: 2.3069737535702806";Dénomination actuelle
"15397";;;COUR DE L'ILE LOUVIERS;cour de l'Île Louviers;2021/10/12;"21";Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;cour;de l';Île Louviers;"[ ""04e"" ]";"[ ""Arsenal"" ]";"[ ""92D3"", ""92C4"" ]";passage de l'Île Louviers.;"boulevard Morland, 17.";59;39;"8";"7";;;Précédemment dénommée voie C/4;Décision municipale du 12 octobre 2021.;;;;"En rappel d'une île historique de la Seine, dite île Louviers, qui a été rattachée à la rive droite.";;;;;"lat: 48.84988043267604, lon: 2.3630899403801005";Dénomination actuelle
"12557";;;PASSAGE DES ORGUES;passage des Orgues;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;passage;des;Orgues;"[ ""03e"" ]";"[ ""Arts et Metiers"" ]";"[ ""72C1"" ]";"rue Meslay, 36.";"boulevard Saint-Martin, 29.";30;2.9;"-";"1";;;;;;;;Conduisait à une fabrique d'orgues.;;;;;"lat: 48.86818655527702, lon: 2.358740525617061";Dénomination actuelle
"15369";;;RUE CATHERINE DE LA ROCHEFOUCAULD;rue Catherine de La Rochefoucauld;2020/10/06;"21";Voie publique de la Ville de Paris;rue;;Catherine de La Rochefoucauld;"[ ""09e"" ]";"[ ""Saint-Georges"" ]";"[ ""50D3"", ""50D1"" ]";"rue Saint-Lazare, 52.";"rue Jean-Baptiste Pigalle, 52.";440;10;"66";;Non retenus au POS et non repris au PLU : Ordonnance du 1er juillet 1834.;;Précédemment rue de La Rochefoucauld dénommée en 1790. Antérieurement c'était la ruelle ou rue de la Tour des Dames (plan de Turgot). La partie entre les rues Saint-Lazare et de la Tour des Dames est indiquée sur un plan de 1672 (Jouvin de Rochefort). Elle a été prolongée jusqu'à la rue Jean-Baptiste Pigalle au commencement du XVIIIe siècle.;"Délibération municipale des 6, 7 et 8 octobre 2020";;;;"Catherine de La Rochefoucauld, née Catherine de La Rochefoucauld-Cousage, décédée en 1760, abbesse de Montmartre de 1731 à 1760; ancien territoire de l'abbaye.";;;;;"lat: 48.87885086104102, lon: 2.334718598954302";Dénomination actuelle
"14070";;;RUE VILLEDO;rue Villedo;1655/01/01;"17";Voie publique de la Ville de Paris;rue;;Villedo;"[ ""01e"" ]";"[ ""Palais-Royal"" ]";"[ ""70D2"", ""70D1"" ]";"rue de Richelieu, 41.";"rue Sainte-Anne, 32-32 bis.";113;10;;;Non retenus au POS et non repris au PLU : Ordonnance du 4 octobre 1826.;;"Tracée en 1639. Dénommée rue Villedo, en 1655.";;;;;"Guillaume et François Villedo, maîtres généraux des bâtiments du roi et oeuvres de maçonnerie, possédaient des maisons dans cette rue au XVIIe siècle.";;;;;"lat: 48.866226460022915, lon: 2.3363543396399553";Dénomination actuelle
"11216";;;CITE D'HAUTEVILLE;cité d'Hauteville;;;Voie publique de la Ville de Paris;cité;d';Hauteville;"[ ""10e"" ]";"[ ""Porte-Saint-Denis"" ]";"[ ""51D3"", ""51D4"" ]";"rue d'Hauteville, 82.";"rue de Chabrol, 51.";155;12;"16";"5";Non retenus au POS et non repris au PLU : Arrêté du 16 janvier 1933.;;"Précédemment, cité Ferdinand Bal, pour une partie.";;Arrêté du 16 janvier 1933.;;"Arrêté du 20 mars 1952, nos 5, 12 et 14.";Voisinage de la rue d'Hauteville.;;Arrêté du 16 janvier 1933.;;;"lat: 48.87644974414309, lon: 2.3519986972591735";Dénomination actuelle
"13912";;;RUE TURGOT;rue Turgot;;;Voie publique de la Ville de Paris;rue;;Turgot;"[ ""09e"" ]";"[ ""Rochechouart"" ]";"[ ""51C4"", ""51C2"" ]";"rue de Rochechouart, 53, et rue Condorcet, 32.";"avenue Trudaine, 15.";210;13;"26";"31";"Non retenus au POS et non repris au PLU : Ordonnance du 23 août 1833, sauf au droit des nos 18 et 20.";;;;;;"Note du Directeur Technique de la Voirie Parisienne en date du 16 juillet 1954, nos 6 et 8.";"Michel Etienne Turgot (1696-1751), prévôt des marchands.";;;;Ordonnance du 23 août 1833.;"lat: 48.880543978207626, lon: 2.345232228595131";Dénomination actuelle
"13287";;;RUE DE ROHAN;rue de Rohan;;;Voie publique de la Ville de Paris;rue;de;Rohan;"[ ""01e"" ]";"[ ""Palais-Royal"" ]";"[ ""70D3"" ]";"rue de Rivoli, 172.";"rue Saint-Honoré, 157.";40;22;"4";"3";Non retenus au POS et non repris au PLU : Décret du 3 mai 1854.;"Les immeubles riverains nos 1, 2, 3 et 4 sont assujettis à une servitude d'architecture (décret du 23 décembre 1852).";Cette voie portait le nom de rue Marceau en 1796.;;;;;"Le cardinal de Rohan, grand aumônier de France, administrateur de l'hôpital des Quinze-Vingts, sur l'emplacement duquel cette rue fut ouverte.";;;;"Ouverte en 1780 (lettres patentes du 16 décembre 1779) (larg. : 7,80 m).";"lat: 48.862981952351056, lon: 2.3354208260979505";Dénomination actuelle
